# device|mode|source|target|bytes|sha256|state|source_build
caiman|balanced|payloads/uecap/caiman/PLATFORM_9055801516233416490.balanced.binarypb|PLATFORM_9055801516233416490.binarypb|623588|2870ba9c94145930ad75f1666c6ec2755ac207a7efc0aa4277bdde13cabaae0c|verified|CP41.260814.003.B1
caiman|special|payloads/uecap/caiman/PLATFORM_9055801516233416490.special.binarypb|PLATFORM_9055801516233416490.binarypb|625928|69df3bf63695f8e9c6230a6359e74ddadcbe34aba79d9d356a04d5b8c711daef|verified|CP41.260814.003.B1
caiman|universal|payloads/uecap/caiman/PLATFORM_9055801516233416490.universal.binarypb|PLATFORM_9055801516233416490.binarypb|622112|0e37f39c0a4a056a9aeda45bb3a5f7a1ad89c7f27b5d7d7b74f621c15a8b3398|verified|CP41.260814.003.B1
komodo|candidate|payloads/uecap/komodo/PLATFORM_6287228797510365516.candidate.binarypb|PLATFORM_6287228797510365516.binarypb|623788|f2c0bc1dc1409b1780dbdf57e56ebfef15cf7f889e76315343d2ae139cb19090|candidate|user_provided_build_unknown
